Disease,Description
Diabetes, "السكري هو مرض يحدث عندما يكون مستوى الغلوكوز في الدم الخاص بك، المعروف أيضًا بمستوى السكر في الدم، أعلى من المعتاد. الغلوكوز هو المصدر الرئيسي لطاقتك ويأتي من الطعام الذي تأكله. الأنسولين، وهو هرمون يتم إنتاجه بواسطة البنكرياس، يساعد الغلوكوز من الطعام على الدخول إلى خلاياك ليتم استخدامه للطاقة."
Impetigo, "الجذام هو عدوى شائعة وشديدة العدوى للغاية تؤثر أساسا على الرضع والأطفال. يظهر الجذام عادة كقروح حمراء على الوجه، خاصة حول أنف وفم الطفل، وعلى اليدين والقدمين. تنفجر القروح وتتطور إلى قشور ذهبية اللون."
Hypertension, "ارتفاع ضغط الدم (HTN أو HT)، المعروف أيضا باسم ارتفاع ضغط الدم (HBP)، هو حالة طبية طويلة الأمد يكون فيها ضغط الدم في الشرايين مرتفعًا باستمرار. غالبًا ما لا يسبب ارتفاع ضغط الدم الأعراض."
Peptic ulcer disease, "مرض القرحة الهضمية (PUD) هو كسر في الغشاء الداخلي للمعدة، أو الجزء الأول من الأمعاء الدقيقة، أو أحيانًا المريء السفلي. يُسمى القرحة في المعدة بقرحة المعدة، بينما يُسمى في الجزء الأول من الأمعاء بقرحة الإثنا عشر."
Dimorphic hemorrhoids (piles), "البواسير، والتي يتم كتابتها أيضًا هيمورويد، هي هياكل وعائية في قناة الشرج. في ... وألقاب أخرى، هيمورويد، ومرض البواسير."
Common Cold, "الزكام العادي هو عدوى فيروسية في الأنف والحلق (الجهاز التنفسي العلوي). عادة ما يكون غير ضار، على الرغم من أنه قد لا يشعر بذلك. العديد من أنواع الفيروسات يمكن أن تسبب نزلة برد."
Chicken pox, "جدري الماء هو مرض شديد العدوى يسببه فيروس الحماق (VZV). يمكن أن يسبب طفحًا مثل الفقاع الحكة. يظهر الطفح أولاً على الصدر والظهر والوجه، ثم ينتشر على الجسم بأكمله، مسببًا بين 250 و 500 فقاعة حكة."
Cervical spondylosis, "تعتبر التآكل العمري على الفقرات الرقبية مصطلحًا عامًا للتآكل المرتبط بالعمر الذي يؤثر على الأقراص الفقرية في عنقك. مع جفاف الأقراص وانكماشها، تظهر علامات التهاب المفاصل العظمي، بما في ذلك النمو العظمي على طول حواف العظام (نتؤات العظم)."
Hyperthyroidism, "يحدث فرط الغدة الدرقية (غدة الدرق) عندما تنتج غدة الدرق كمية زائدة من هرمون الثيروكسين. يمكن أن يسرع فرط الغدة الدرقية من عملية أيض جسمك، مما يسبب فقدان الوزن غير المقصود ونبض قلب سريع أو غير منتظم."
Urinary tract infection, "عدوى المسالك البولية: عدوى في الكلية، والحالب، والمثانة، أو الإحليل. تُختصر بـ UTI. ليس لدى الجميع أعراض مع عدوى المسالك البولية، ولكن الأعراض الشائعة تشمل الرغبة المتكررة في التبول والألم أو الحرق عند التبول."
Varicose veins, "الوريد الذي قد تم توسيعه وتشوهه، غالبًا ما يظهر كوعاء دموي أزرق بارز يكون واضحًا من خلال الجلد. الوريد الدوار أكثر شيوعًا في كبار السن، خاصة النساء، ويحدث خصوصًا على الساقين."
AIDS, "متلازمة نقص المناعة المكتسبة (الإيدز) هي حالة مزمنة وقد تكون خطيرة تسببها فيروس نقص المناعة البشرية (HIV). من خلال تضرير الجهاز المناعي، يعيق فيروس HIV قدرة جسمك على مكافحة العدوى والأمراض."
Paralysis (brain hemorrhage), "نزيف دماغي داخل الدماغ هو عندما ينفجر الدم فجأة في أنسجة الدماغ، مسببًا ضررًا لدماغك. عادةً ما تظهر الأعراض فجأة أثناء النزيف الدماغي. تشمل الأعراض الصداع والضعف والارتباك والشلل، خاصة على جانب واحد من جسمك."
Typhoid, "مرض حاد يتميز بالحمى ناتج عن العدوى ببكتيريا السالمونيلا التيفية. يتميز المرض ببداية خفية، مع حمى وصداع وإمساك وتعب وقشعريرة وألم عضلي. الإسهال غير شائع، والقيء عادة ليس شديدًا."
Hepatitis B, "التهاب الكبد B هو عدوى في كبدك. يمكن أن يسبب تلف العضو، وفشل الكبد، والسرطان. يمكن أن يكون قاتل إذا لم يتم علاجه. يُنقل عندما يتلامس الناس مع دم، أو جروح مفتوحة، أو سوائل الجسم لشخص يحمل فيروس التهاب الكبد B."
Fungal infection, "تحدث العدوى الفطرية في البشر عندما يتولى فطر غازٍ مناطق في الجسم وتكون كمية كبيرة للغاية بالنسبة للجهاز المناعي للتعامل معها. يمكن للفطريات العيش في الهواء والتربة والماء والنباتات. هناك أيضا بعض الفطريات التي تعيش بشكل طبيعي في الجسم البشري. مثل العديد من الكائنات الدقيقة، هناك فطريات مفيدة وفطريات ضارة."
Hepatitis C, "التهاب الكبد بسبب فيروس التهاب الكبد C (HCV)، والذي ينتقل عادة عن طريق نقل الدم (نادرًا)، وجلسات غسيل الكلى، والطعن بالإبر. يمكن أن يؤدي التلف الذي يسببه فيروس التهاب الكبد C في الكبد إلى تليف الكبد ومضاع
Migraine, "يمكن أن يسبب الصداع النصفي ألمًا شديدًا ينبض أو إحساسًا بالنبض، عادة على جانب واحد من الرأس. وغالبًا ما يترافق بالغثيان والقيء، والحساسية المفرطة للضوء والصوت. هجمات الصداع النصفي يمكن أن تستمر لساعات إلى أيام، ويمكن أن يكون الألم شديدًا إلى درجة أنه يعيق الأنشطة اليومية الخاصة بك."
Bronchial Asthma, "الربو القصبي هو حالة طبية تتسبب في انتفاخ وتضيق مسار الهواء في الرئتين. نتيجة لهذا الانتفاخ، ينتج المسار الهوائي مخاطًا زائدًا مما يجعل النفس صعبًا، مما يؤدي إلى السعال وضيق التنفس والشهيق. المرض مزمن ويعيق الحياة اليومية."
Alcoholic hepatitis, "التهاب الكبد الكحولي هو حالة مرضية، التهابية للكبد ناتجة عن استهلاك الكحول الثقيل على مدى فترة طويلة. ويتفاقم أيضًا بسبب شرب الكحول الجماعي واستمرار استخدام الكحول. إذا كنت تعاني من هذه الحالة، يجب أن تتوقف عن شرب الكحول."
Jaundice, "التلوين الأصفر للجلد والبياضات (البياضات) للعيون بمستويات عالية غير طبيعية من صبغة الصفراء بيليروبين في الدم. يمتد اللون الأصفر إلى أنسجة وسوائل الجسم الأخرى. كان يُطلق على اليرقان سابقًا "morbus regius" (المرض الملكي) بالاعتقاد بأن لمسة الملك فقط يمكن أن تعالجه."
Hepatitis E, "نوع نادر من التهاب الكبد ناتج عن العدوى بفيروس التهاب الكبد E (HEV). يُنقل عن طريق الطعام أو الشراب الذي يتعامل به شخص مصاب أو من خلال إمدادات المياه الملوثة في المناطق التي قد يتداول فيها المواد البرازية في المياه. لا يسبب التهاب الكبد E مرض الكبد المزمن."
Dengue, "مرض معدٍ حاد يسببه فيروس فلافي (فيروس دنغي من جنس الفلافيروسات)، يُنقل عن طريق البعوض الزاعجة، ويتميز بالصداع، وآلام مفاصل شديدة، وطفح جلدي. يُطلق عليه أيضًا اسم حمى الكسر (breakbone fever)، حمى الدنغي."
Hepatitis D, "التهاب الكبد D، المعروف أيضًا باسم فيروس التهاب الكبد دلتا، هو عدوى تسبب التهاب الكبد. يمكن أن يؤدي هذا الانتفاخ إلى تضرر وظيفة الكبد وتسبب مشاكل كبدية طويلة الأمد، بما في ذلك تليف الكبد والسرطان. يُسبب هذا الشرط فيروس التهاب الكبد D (HDV)."
Heart attack, "موت العضلة القلبية نتيجة فقدان إمداد الدم. يُسبب فقدان إمداد الدم عادةً بسبب انسداد كامل للشريان التاجي، أحد الشرايين التي توفر الدم للعضلة القلبية."
Pneumonia, "التهاب في أحد أو كلا الرئتين. يسببه البكتيريا والفيروسات والفطريات. يُسبب التهاب الجيوب الهوائية في رئتيك، المسماة الحويصلات، أن تمتلئ بالسوائل أو القيح، مما يجعل النفس صعبًا."
Arthritis, "التهاب وتورم وحساسية في واحدة أو أكثر من مفاصلك. الأعراض الرئيسية للتهاب المفاصل هي ألم المفصل والص
Gastroenteritis, "التهاب في الجهاز الهضمي، خاصة في المعدة، والأمعاء الكبيرة والصغيرة. التهاب الجهاز الهضمي الفيروسي والبكتيري هما عدوى في الأمعاء ترتبط بأعراض الإسهال وآلام البطن والغثيان والقيء."
Tuberculosis, "السل (TB) هو مرض معدي يسببه عادة بكتيريا Mycobacterium tuberculosis (MTB). يؤثر السل بشكل عام على الرئتين، ولكنه قد يؤثر أيضًا على أجزاء أخرى من الجسم. معظم الإصابات لا تظهر أي أعراض، وفي هذه الحالة يُعرف باسم السل الكامن."








